desi_J151109.16-045218.58.fits REJECT
desi_J161226.28+003416.25.fits REJECT
desi_J125811.22+030159.83.fits SELECT
desi_J023135.66+070914.56.fits REJECT
desi_J162442.92+345928.37.fits REJECT
desi_J135031.55-030902.46.fits REJECT
desi_J125159.66+400804.91.fits REJECT
desi_J151936.84+295820.04.fits SELECT
desi_J142543.33+540619.33.fits REJECT
desi_J075052.59+300334.20.fits REJECT
desi_J001812.27+205657.71.fits REJECT
desi_J024142.73+125117.72.fits REJECT
desi_J074404.60+183034.03.fits REJECT
desi_J144907.50-025722.67.fits REJECT
desi_J230309.71+150617.25.fits REJECT
desi_J081151.99+193252.09.fits REJECT
desi_J074154.72+252029.56.fits REJECT
desi_J210916.15-052808.64.fits REJECT
desi_J131140.26+560416.93.fits REJECT
desi_J172003.10+200722.67.fits REJECT
desi_J084230.18+333818.55.fits REJECT
desi_J162635.76+053143.64.fits REJECT
desi_J210009.37+032956.04.fits REJECT
desi_J105654.76-050900.12.fits REJECT
desi_J040625.32-073447.89.fits REJECT
desi_J144749.42-055513.36.fits REJECT
desi_J173117.65+144547.58.fits UNSURE
desi_J113356.36-015040.46.fits REJECT
desi_J110303.87+323243.14.fits REJECT
desi_J103829.38+003949.15.fits REJECT
desi_J114745.69+060441.02.fits REJECT
desi_J111243.14+203036.83.fits REJECT
desi_J083631.59+152120.61.fits REJECT
desi_J130447.30+040943.06.fits REJECT
desi_J143041.15+142044.33.fits REJECT
desi_J232120.40-014132.16.fits REJECT
desi_J105355.98-045305.55.fits REJECT
desi_J142000.94+060404.85.fits REJECT
desi_J082118.24+235133.68.fits REJECT
desi_J104902.08-035845.51.fits REJECT
desi_J082826.96+221032.71.fits REJECT
desi_J154927.73+381442.65.fits REJECT
desi_J140735.65+230917.42.fits REJECT
desi_J075054.62+322102.83.fits REJECT
desi_J144117.46+035910.55.fits REJECT
desi_J192747.62+681926.96.fits REJECT
desi_J011253.17+184934.11.fits REJECT
desi_J083543.95+053450.69.fits UNSURE
desi_J190646.17+615423.71.fits REJECT
desi_J171509.79+150203.57.fits REJECT
desi_J135636.13+030131.28.fits REJECT
desi_J210606.37+015708.36.fits REJECT
desi_J162853.31+130916.76.fits REJECT
desi_J153716.66+315516.48.fits REJECT
desi_J165615.05+174906.85.fits UNSURE
desi_J022532.95-072058.45.fits REJECT
desi_J091451.59+054236.69.fits REJECT
desi_J002445.48+013254.03.fits REJECT
desi_J040553.06-064933.94.fits REJECT
desi_J101509.53+114829.27.fits UNSURE
desi_J025102.26+042253.88.fits REJECT
desi_J134747.03+045106.12.fits REJECT
desi_J235238.82+015033.85.fits UNSURE
